ID,Start Date,End Date,Category,Currency,Goal,Status
1,3/6/2014,4/8/2014,Arts & Creative,USD,10000,Failed
2,3/11/2014,4/20/2014,Arts & Creative,USD,20000,Failed
3,4/2/2014,4/23/2014,Film & Video,USD,2700,Failed
4,23-Sep-17,,"Health, Illness or Medical",U.S. Dollar,36900,Failed
5,1/13/2014,1/30/2014,Music,USD,1200,Failed
6,25-Feb-15,,Veterans & Heroes,U.S. Dollar,500,Failed
7,3/25/2014,5/4/2014,Film & Video,USD,4500,Success
8,2/21/2014,3/21/2014,Games,USD,1700,Success
9,22-Oct-13,,Veterans & Heroes,U.S. Dollar,3000,Failed
10,4/2/2014,4/23/2014,Film & Video,USD,700,Success
11,29-Sep-13,,Celebrations and Weddings,U.S. Dollar,200,Failed
12,2/13/2014,3/15/2014,Food,GBP,22000,Success
13,1/2/2014,2/1/2014,Design,USD,12000,Failed
14,5/9/2014,6/10/2014,Design,USD,8000,Failed
15,3/6/2014,4/20/2014,Design,USD,45000,Failed
16,12/25/2013,2/8/2014,Music,USD,200,Success
17,4/8/2014,5/8/2014,Film & Video,CAD,25000,Failed
18,5/10/2014,6/11/2014,Film & Video,GBP,1750,Failed
19,2/2/2014,3/4/2014,Film & Video,AUD,20000,Failed
20,3/29/2014,4/28/2014,Arts & Creative,USD,20000,Failed
21,2/1/2014,3/18/2014,Fashion,USD,100000,Failed
22,2/27/2014,3/29/2014,Film & Video,USD,1200,Success
23,4/2/2014,5/2/2014,Arts & Creative,USD,10000,Success
24,5/22/2014,6/21/2014,Film & Video,USD,75000,Failed
25,3/21/2014,5/10/2014,Design,USD,24500,Failed
26,5/8/2014,6/7/2014,Film & Video,USD,10000,Success
27,7-Oct-15,,Memorials & Funerals,U.S. Dollar,1800,Success
28,2/1/2014,3/8/2014,Music,USD,3500,Failed
29,1/31/2014,4/1/2014,Food,CAD,9000,Success
30,2/10/2014,4/11/2014,Technology,CAD,150000,Failed
31,3/28/2014,4/5/2014,Film & Video,USD,300,Success
32,9-Oct-13,,Celebrations and Weddings,U.S. Dollar,500,Failed
33,3/31/2014,4/30/2014,Publishing,USD,5500,Failed
34,5/14/2014,6/8/2014,Design,USD,15500,Success
35,4/10/2014,5/1/2014,Theater,USD,500,Success
36,27-Nov-16,,Politics,Canadian Dollar,10000,Failed
37,5-Sep-16,,Education & Schools,Euro,350,Success
38,4/21/2014,5/12/2014,Music,USD,1500,Success
39,4/16/2014,5/16/2014,Photography,USD,4000,Failed
40,16-May-12,,Politics,U.S. Dollar,5000,Failed
41,27-Nov-15,,Business,U.S. Dollar,2500,Failed
42,6-Apr-17,,Animals & Humane,U.S. Dollar,1700,Failed
43,11-Jul-14,,Accidents & Disasters,Canadian Dollar,30000,Success
44,2/1/2014,3/8/2014,Technology,USD,6000,Success
45,2/10/2014,3/22/2014,Games,USD,17000,Success
46,1/24/2014,2/23/2014,Arts & Creative,USD,3500,Success
47,12/16/2013,1/15/2014,Film & Video,USD,1839,Success
48,3/7/2014,4/6/2014,Film & Video,USD,9000,Failed
49,3/24/2014,5/23/2014,Film & Video,AUD,5500,Failed
50,4/22/2014,5/22/2014,Fashion,USD,2500,Success
51,3/5/2014,4/5/2014,Arts & Creative,USD,500,Success
52,3/24/2014,4/23/2014,Film & Video,USD,8000,Success
53,12/30/2013,1/31/2014,Theater,USD,5000,Failed
54,1/17/2014,2/16/2014,Music,USD,50000,Success
55,12/28/2013,1/25/2014,Fashion,USD,400,Success
56,5/13/2014,6/19/2014,Crafts,USD,1000,Failed
57,4/9/2014,5/9/2014,Design,USD,15000,Failed
58,2/1/2014,3/3/2014,Theater,USD,750,Failed
59,5/16/2014,6/15/2014,Dance,GBP,2000,Failed
60,2/25/2014,3/23/2014,Games,CAD,25000,Failed
61,23-Feb-17,,Travel,U.S. Dollar,180,Success
62,2/24/2014,3/26/2014,Fashion,NZD,2000,Failed
63,12/19/2013,1/18/2014,Arts & Creative,USD,350,Success
64,2/6/2014,3/8/2014,Music,USD,7500,Failed
65,3/13/2014,4/3/2014,Music,USD,1100,Failed
66,5/20/2014,6/19/2014,Film & Video,CAD,100000,Success
67,12/20/2013,1/17/2014,Music,GBP,2500,Failed
68,30-Mar-17,,Education & Schools,U.S. Dollar,2000,Failed
69,1/19/2014,2/18/2014,Film & Video,USD,15000,Failed
70,12/25/2013,1/24/2014,Arts & Creative,USD,2500,Success
71,3/1/2014,3/26/2014,Games,USD,5000,Success
72,4/24/2014,5/24/2014,Film & Video,USD,2500,Success
73,28-Nov-14,,Accidents & Disasters,Canadian Dollar,10000,Failed
74,3-Dec-17,,Community & Volunteer,U.S. Dollar,1000,Failed
75,8-Dec-17,,Community & Volunteer,U.S. Dollar,4000,Failed
76,2/12/2014,3/13/2014,Music,USD,500,Success
77,12/23/2013,2/1/2014,Music,USD,3000,Success
78,2-Feb-18,,"Health, Illness or Medical",U.S. Dollar,2200,Failed
79,4/1/2014,5/11/2014,Fashion,GBP,7000,Failed
80,17-Aug-16,,Legal,U.S. Dollar,25000,Failed
81,2/4/2014,3/6/2014,Music,USD,12000,Success
82,1/3/2014,2/10/2014,Music,CAD,5000,Failed
83,2/13/2014,3/25/2014,Games,GBP,55000,Failed
84,3/16/2014,4/7/2014,Film & Video,GBP,5000,Success
85,5/9/2014,6/8/2014,Publishing,USD,32329,Failed
86,4/9/2014,5/15/2014,Music,USD,2000,Failed
87,1/31/2014,3/2/2014,Arts & Creative,USD,6000,Success
88,2/22/2014,3/24/2014,Arts & Creative,USD,4300,Failed
89,2/4/2014,3/6/2014,Technology,USD,1000,Failed
90,5/21/2014,6/21/2014,Music,USD,5000,Success
91,5/14/2014,6/8/2014,Games,GBP,250,Success
92,1/23/2014,2/22/2014,Arts & Creative,USD,700,Success
93,21-Apr-17,,Celebrations and Weddings,U.S. Dollar,400,Failed
94,12/21/2013,2/4/2014,Design,CAD,36000,Failed
95,12/24/2013,1/23/2014,Music,USD,10000,Success
96,6-Nov-17,,Sports & Competitions,Australian Dollar,1000,Failed
97,21-Aug-18,"Sep 21, 2018

					,

				",Non-profits & Charity,U.S. Dollar,1000,Failed
98,4/14/2014,5/7/2014,Music,USD,1000,Failed
99,12/17/2013,1/17/2014,Fashion,USD,3000,Failed
100,5/9/2014,6/8/2014,Film & Video,AUD,500,Failed
101,31-Oct-17,,Animals & Humane,U.S. Dollar,4000,Failed
102,4/29/2014,5/15/2014,Film & Video,GBP,300,Success
103,2/20/2014,3/12/2014,Technology,USD,1200,Success
104,12-Apr-16,,Arts & Creative,U.S. Dollar,90,Success
105,1-Apr-17,,Animals & Humane,U.S. Dollar,350,Success
106,5/19/2014,6/21/2014,Arts & Creative,GBP,300,Success
107,4-Jun-16,,Sports & Competitions,U.S. Dollar,999,Success
108,2/18/2014,3/31/2014,Film & Video,USD,190000,Failed
109,5/16/2014,6/15/2014,Technology,USD,35000,Failed
110,29-Apr-13,,Celebrations and Weddings,U.S. Dollar,3500,Failed
111,2/19/2014,3/21/2014,Arts & Creative,USD,3500,Success
112,1/23/2014,3/4/2014,Food,GBP,1100,Failed
113,1/16/2014,2/2/2014,Film & Video,AUD,850,Success
114,14-Aug-14,,Faith & Religion,U.S. Dollar,2800,Failed
115,4/7/2014,6/5/2014,Publishing,USD,5000,Failed
116,1/8/2014,2/12/2014,Arts & Creative,USD,2200,Failed
117,14-Oct-17,,Accidents & Disasters,Australian Dollar,11000,Success
118,25-Sep-17,,Family & Kids,Israeli New Sheqel,630000,Failed
119,14-Aug-18,"Sep 14, 2018

					,

				",Non-profits & Charity,U.S. Dollar,16000,Success
